Flooring,ViewYN,PoolPrivateYN,ClosePrice,Latitude,Longitude,LivingArea,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,AssociationFee,LotSizeSquareFeet,SaleYearMonth
,0,0,1065000.0,33.815662,-117.53539,2617.0,248 - Corona,Riverside,1,3.0,2002.0,3,Corona,4,1,1,1,4,0,3.0,Corona-Norco Unified,115.0,10454.0,2026-05
"Carpet,Tile,Wood",1,0,35000000.0,34.02449,-118.78139,5154.0,C33 - Malibu,Los Angeles,1,8.0,1983.0,7,Malibu,4,1,2,2,,0,,Santa Monica-Malibu Unified,,99457.0,2026-05
,1,0,2875000.0,33.462443,-117.6329,2354.0,CD - Coast District,Orange,1,6.0,1987.0,3,San Clemente,4,1,2,2,1,0,3.0,Capistrano Unified,155.0,0.36,2026-05
"Laminate,Wood",0,0,310000.0,38.01562462,-120.27684521,1482.0,,Tuolumne,0,0.0,1980.0,2,Sonora,3,1,2,2,,0,0.0,,,36651.0,2026-05
"Stone,Vinyl",1,0,465000.0,37.99138936,-120.22568416,2250.0,,Tuolumne,1,1.0,1970.0,2,Tuolumne,4,1,1,1,,0,1.0,,30.0,56192.0,2026-05
,1,0,3012500.0,34.2159,-118.217634,2845.0,634 - La Canada Flintridge,Los Angeles,0,2.0,1924.0,3,La Canada Flintridge,4,1,2,2,1,0,2.0,La Canada Unified,0.0,15109.0,2026-05
,1,0,450000.0,33.834593,-118.216631,810.0,699 - Not Defined,Los Angeles,0,0.0,1944.0,1,Carson,2,0,1,1,2,0,0.0,Los Angeles Unified,0.0,5502.0,2026-05
"Carpet,Laminate,Tile",1,1,530000.0,39.514715,-121.54242,3430.0,,Butte,0,2.0,1970.0,3,Oroville,4,1,2,2,0,0,2.0,Oroville Union,0.0,6970.0,2026-05
Concrete,1,1,7095000.0,33.838981,-116.55346000000002,4157.0,332 - Central Palm Springs,Riverside,1,6.0,2022.0,5,Palm Springs,5,1,1,1,,0,4.0,,,16553.0,2026-05
"Tile,Wood",0,0,1360000.0,37.75310493,-122.23345875,1515.0,,Alameda,1,1.0,1956.0,2,Alameda,3,1,1,1,,0,1.0,,,4400.0,2026-05
,1,0,2265000.0,33.888377,-117.710417,3890.0,85 - Yorba Linda,Orange,1,4.0,1992.0,4,Yorba Linda,4,1,2,2,1,0,4.0,Brea-Olinda Unified,0.0,15100.0,2026-05
"Carpet,Tile",1,0,587000.0,37.98936099,-120.24356817,2135.0,,Tuolumne,1,2.0,2006.0,3,Tuolumne,3,1,1,1,,0,2.0,,,77536.0,2026-05
,0,0,1175000.0,37.631776,-122.452044,1110.0,,San Mateo,1,2.0,1955.0,2,San Bruno,3,1,1,1,3,0,2.0,John Swett,0.0,5000.0,2026-05
Wood,0,0,2700000.0,37.48715439,-122.26525687,1491.0,699 - Not Defined,San Mateo,1,2.0,1950.0,2,San Carlos,3,1,,0,,0,2.0,Other,,5650.0,2026-05
,0,0,3400000.0,33.39716,-117.59616,3331.0,SW - San Clemente Southwest,Orange,1,3.0,1987.0,4,San Clemente,4,1,2,2,0,0,3.0,Capistrano Unified,502.0,7350.0,2026-05
,0,0,211000.0,35.40474329999999,-118.96191596,1680.0,,Kern,0,2.0,1958.0,2,Bakersfield,4,1,1,1,,0,0.0,,,,2026-05
,0,0,935000.0,34.196032,-118.573893,1202.0,WIN - Winnetka,Los Angeles,1,2.0,1953.0,2,Winnetka,3,1,1,1,3,0,2.0,Los Angeles Unified,0.0,11885.0,2026-05
"Tile,Wood",1,0,1500000.0,34.108863,-118.34061,2200.0,C03 - Sunset Strip - Hollywood Hills West,Los Angeles,0,1.0,1925.0,3,Los Angeles,3,1,2,2,,0,1.0,,,3054.0,2026-05
"Carpet,Wood",1,0,1175000.0,32.764845,-117.065203,1309.0,92115 - San Diego,San Diego,1,4.0,1955.0,2,San Diego,3,0,1,1,,0,2.0,San Diego Unified,0.0,5400.0,2026-05
