Flooring,ViewYN,PoolPrivateYN,ClosePrice,Latitude,Longitude,LivingArea,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,AssociationFee,LotSizeSquareFeet,SaleYearMonth
,0,1,675000.0,32.797412,-116.979246,1416.0,92020 - El Cajon,San Diego,1,2.0,1960.0,2,El Cajon,3,1,1,1,,0,2.0,Grossmont Union,0.0,7405.2,2026-04
Carpet,0,0,2520000.0,37.83593538,-121.96034101,2814.0,,Contra Costa,1,2.0,1927.0,5,Diablo,5,1,1,1,,0,2.0,,,25000.0,2026-04
,1,0,1575000.0,34.112913,-118.085101,2200.0,654 - San Gabriel,Los Angeles,0,2.0,1939.0,3,San Gabriel,4,1,1,1,4,0,2.0,San Gabriel Unified,0.0,9652.0,2026-04
"Tile,Wood",0,0,1400000.0,33.64965,-117.967355,1384.0,14 - South Huntington Beach,Orange,1,4.0,1965.0,2,Huntington Beach,3,1,1,1,3,0,2.0,Huntington Beach Union High,0.0,6532.0,2026-04
,1,0,499000.0,34.283326,-116.351988,1934.0,DC591 - Landers,San Bernardino,0,0.0,1961.0,3,Landers,4,0,1,1,4,0,0.0,Morongo Unified,0.0,217800.0,2026-04
,0,0,1320000.0,37.55007737,-122.3032949,1110.0,,San Mateo,1,4.0,1954.0,1,San Mateo,3,0,1,1,,0,2.0,,52.0,,2026-04
"Carpet,Tile,Wood",1,0,1725000.0,37.08488282,-121.7263481,3452.0,699 - Not Defined,Santa Clara,1,6.0,1970.0,4,Morgan Hill,4,1,,0,,0,6.0,Other,,985762.0,2026-04
,0,0,1000000.0,32.76102256,-117.08157668,1820.0,92115 - San Diego,San Diego,0,3.0,1955.0,3,San Diego,3,0,2,2,,0,2.0,,,9600.0,2026-04
Wood,0,0,1125000.0,34.178339,-118.348447,1264.0,610 - Burbank,Los Angeles,0,2.0,1940.0,1,Burbank,4,1,1,1,,0,2.0,,,6509.0,2026-04
,1,0,730000.0,35.422422,-120.606185,1294.0,ATSC - Atascadero,San Luis Obispo,0,0.0,1919.0,1,Atascadero,3,0,1,1,3,0,0.0,Atascadero Unified,0.0,38768.0,2026-04
Wood,1,0,1160000.0,34.158337,-118.355743,905.0,TUL - Toluca Lake,Los Angeles,1,2.0,1941.0,1,Toluca Lake,2,1,1,1,,0,2.0,,,7099.0,2026-04
"Carpet,Wood",1,0,3725000.0,37.36744375,-122.11544425,1984.0,699 - Not Defined,Santa Clara,1,2.0,1972.0,2,Los Altos,2,1,1,0,,0,2.0,Other,1452.0,2703.0,2026-04
Vinyl,0,0,599500.0,37.76510975,-122.17228125,1078.0,,Alameda,0,0.0,1924.0,2,Oakland,3,0,1,1,,0,0.0,,,3500.0,2026-04
Tile,0,0,1215000.0,33.926165000000005,-117.858945,1890.0,86 - Brea,Orange,1,2.0,2013.0,3,Brea,3,0,2,2,0,0,2.0,Brea-Olinda Unified,384.0,2897.0,2026-04
,0,0,3000000.0,33.872091999999995,-118.400431,1387.0,149 - Hermosa Bch Valley,Los Angeles,0,2.0,1922.0,2,Hermosa Beach,4,0,1,1,2,0,2.0,Manhattan Unified,0.0,7489.0,2026-04
"Tile,Wood",1,1,4100000.0,33.797565000000006,-118.078248,4837.0,51 - Rossmoor,Orange,1,3.0,2022.0,6,Rossmoor,6,1,2,2,1,0,3.0,Los Alamitos Unified,0.0,7865.0,2026-04
"Laminate,Tile",1,0,476999.0,34.709889000000004,-118.150679,1787.0,LAC - Lancaster,Los Angeles,1,2.0,1955.0,3,Lancaster,5,0,1,1,4,0,2.0,Lancaster,0.0,6671.0,2026-04
"Tile,Wood",1,0,1600000.0,34.124769,-118.323169,1281.0,C30 - Hollywood Hills East,Los Angeles,1,0.0,1957.0,2,Los Angeles,2,1,1,1,,0,,,,7519.0,2026-04
,0,0,600000.0,34.204931,-118.514514,1003.0,VN - Van Nuys,Los Angeles,1,2.0,1950.0,2,Van Nuys,3,0,1,1,3,0,2.0,Los Angeles Unified,0.0,6089.0,2026-04
,1,0,2395000.0,33.447103000000006,-117.649586,3111.0,CB - Capistrano Beach,Orange,1,6.0,1987.0,3,Dana Point,4,1,2,2,1,0,3.0,Capistrano Unified,800.0,7500.0,2026-04
Wood,0,0,18200000.0,34.084006,-118.395134,6777.0,C01 - Beverly Hills,Los Angeles,0,1.0,1929.0,8,Beverly Hills,7,1,2,2,,0,,,,14102.0,2026-04
Wood,1,0,9207000.0,37.43994547,-122.14168256,4881.0,699 - Not Defined,Santa Clara,0,2.0,2015.0,7,Palo Alto,6,1,,0,,0,1.0,Palo Alto Unified,,7498.0,2026-04
Wood,1,0,2057400.0,33.643532,-117.701425,2069.0,LS - Lake Forest South,Orange,1,4.0,1972.0,3,Lake Forest,3,1,2,2,1,0,2.0,Saddleback Valley Unified,358.0,3600.0,2026-04
,0,0,740000.0,33.569324,-117.198353,1772.0,SRCAR - Southwest Riverside County,Riverside,1,3.0,1997.0,2,Murrieta,4,0,1,1,4,0,3.0,Murrieta,0.0,8276.0,2026-04
,0,1,3650000.0,33.780252000000004,-118.347889,4737.0,165 - PV Dr North,Los Angeles,1,2.0,1990.0,5,Rolling Hills Estates,5,1,2,2,1,0,2.0,Palos Verdes Peninsula Unified,0.0,20386.0,2026-04
,0,0,1450000.0,32.799486,-117.03292368,2429.0,92119 - San Carlos,San Diego,1,4.0,1963.0,3,San Diego,5,0,1,1,,0,2.0,,,11300.0,2026-04
Wood,0,0,1779875.0,34.063782,-118.34323700000002,1398.0,C18 - Hancock Park-Wilshire,Los Angeles,0,7.0,1924.0,2,Los Angeles,3,1,1,1,,0,2.0,Los Angeles Unified,,6506.0,2026-04
,1,0,479000.0,39.775849,-121.613101,1816.0,,Butte,1,8.0,2026.0,2,Paradise,3,0,1,1,3,1,2.0,Paradise Unified,0.0,43560.0,2026-04
,1,0,1060000.0,33.26958626,-117.29360665,2887.0,92057 - Oceanside,San Diego,1,6.0,2009.0,3,Oceanside,4,0,2,2,,0,3.0,,135.0,5969.0,2026-04
Tile,1,0,6425000.0,37.2874254,-121.7834593,4569.0,699 - Not Defined,Santa Clara,1,3.0,1999.0,6,San Jose,4,1,,0,,0,3.0,Other,205.0,22000.0,2026-04
Tile,1,0,855000.0,34.869584,-118.209641,3760.0,ROSA - Rosamond,Kern,1,3.0,1990.0,4,Rosamond,4,1,1,1,4,0,3.0,Other,217.0,31374.0,2026-04
,1,1,1365000.0,34.168978,-118.64601299999998,3030.0,WHLL - Woodland Hills,Los Angeles,1,2.0,1962.0,3,Woodland Hills,5,1,1,1,5,0,2.0,Los Angeles Unified,0.0,11193.0,2026-04
Wood,0,0,2450000.0,37.34529657,-121.97172578,1418.0,699 - Not Defined,Santa Clara,1,2.0,1960.0,2,Santa Clara,4,1,,0,,0,2.0,Other,,10185.0,2026-04
,1,0,585000.0,33.929493,-117.455302,1284.0,252 - Riverside,Riverside,1,2.0,1978.0,2,Riverside,3,1,1,1,3,0,2.0,Riverside Unified,0.0,6534.0,2026-04
,0,0,850000.0,34.45795437,-118.57240941,2751.0,,Los Angeles,1,2.0,2014.0,4,Valencia,4,0,,0,,0,2.0,Los Angeles Unified,166.0,7933.0,2026-04
,1,0,1310000.0,33.182542,-117.252993,2883.0,92081 - Vista,San Diego,1,3.0,1980.0,3,Vista,4,1,1,1,,0,3.0,Vista Unified,199.0,17424.0,2026-04
,0,0,3426000.0,34.071915000000004,-118.455766,2768.0,C05 - Westwood - Century City,Los Angeles,1,0.0,1937.0,4,Los Angeles,3,1,1,1,,0,,,,10213.0,2026-04
,1,0,1675000.0,33.646498,-117.708656,1975.0,LS - Lake Forest South,Orange,1,2.0,1975.0,3,Lake Forest,4,1,2,2,1,0,2.0,Saddleback Valley Unified,360.0,3600.0,2026-04
,1,0,1250000.0,33.858324,-117.759101,3152.0,77 - Anaheim Hills,Orange,0,2.0,1979.0,3,Anaheim Hills,4,1,1,1,5,0,2.0,Placentia-Yorba Linda Unified,0.0,21780.0,2026-04
Wood,1,0,700000.0,34.234815000000005,-118.541904,1549.0,NR - Northridge,Los Angeles,0,0.0,1952.0,1,Northridge,3,1,1,1,1,0,0.0,Los Angeles Unified,0.0,6326.0,2026-04
,0,0,3150000.0,37.31547852,-122.01943292,1632.0,699 - Not Defined,Santa Clara,1,2.0,1959.0,2,Cupertino,3,1,,0,,0,2.0,Other,,6480.0,2026-04
,0,1,580000.0,33.895987,-118.096224,1170.0,M1 - Norwalk,Los Angeles,1,1.0,1948.0,1,Norwalk,2,0,1,1,2,0,1.0,Norwalk - La Mirada,0.0,6003.0,2026-04
Wood,0,0,1900000.0,37.8160517,-122.12018119,2148.0,,Contra Costa,1,2.0,1967.0,2,Moraga,4,1,1,1,,0,2.0,,,14410.0,2026-04
