Flooring,ViewYN,PoolPrivateYN,ClosePrice,Latitude,Longitude,LivingArea,MLSAreaMajor,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,FireplaceYN,Stories,Levels,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,AssociationFee,LotSizeSquareFeet,SaleYearMonth
,1,0,993000.0,33.803655,-116.52356,2122.0,334 - South End Palm Springs,Riverside,1,1.0,1974.0,4,Palm Springs,4,0,1,1,,0,,,,10454.0,2025-04
"Carpet,Wood",0,0,1150000.0,34.159057000000004,-118.422171,1385.0,SO - Sherman Oaks,Los Angeles,0,1.0,1951.0,1,Sherman Oaks,2,1,1,1,,0,,,,8244.0,2025-04
,1,1,995000.0,34.248065000000004,-118.47476100000002,1585.0,NOH - North Hills,Los Angeles,1,2.0,1959.0,3,North Hills,4,1,1,1,4,0,2.0,Los Angeles Unified,0.0,8704.0,2025-04
"Carpet,Tile,Wood",0,0,2250000.0,37.736422,-121.8776295,3016.0,,Alameda,1,2.0,2018.0,4,Dublin,4,0,,3,,0,2.0,Dublin,232.0,2975.0,2025-04
,1,0,2300000.0,34.129586,-118.153528,2234.0,647 - Pasadena (SW),Los Angeles,1,2.0,1948.0,4,Pasadena,4,0,1,1,,0,2.0,,,6695.0,2025-04
,0,0,3320000.0,37.36559627,-122.07360809,2059.0,699 - Not Defined,Santa Clara,1,2.0,1971.0,2,Mountain View,3,1,,0,,0,2.0,Other,,8000.0,2025-04
,1,0,530000.0,32.735849,-117.03461,1248.0,91945 - Lemon Grove,San Diego,1,2.0,1974.0,2,Lemon Grove,3,1,1,1,,0,2.0,Lemon Grove,0.0,7405.2,2025-04
Tile,1,0,5125000.0,34.058215999999994,-118.470421,3052.0,C06 - Brentwood,Los Angeles,0,2.0,1969.0,4,Los Angeles,4,1,,0,,0,,,,15645.0,2025-04
"Carpet,Laminate",0,0,975000.0,34.090039000000004,-118.073879,1274.0,651 - Rosemead/S. San Gabriel,Los Angeles,0,2.0,1926.0,1,Rosemead,4,1,1,1,1,0,2.0,Rosemead,0.0,11752.0,2025-04
"Laminate,Tile",1,0,1900000.0,37.56777942,-122.00638075,1755.0,,Alameda,1,2.0,1988.0,3,Fremont,3,1,2,2,,0,2.0,Fremont Unified,99.0,4554.0,2025-04
,0,0,2225000.0,37.57040178,-122.33304362,2560.0,699 - Not Defined,San Mateo,1,2.0,2009.0,5,San Mateo,4,1,,0,,0,2.0,Other,,1.0,2025-04
"Tile,Wood",0,0,950000.0,34.178575,-118.329703,941.0,610 - Burbank,Los Angeles,0,2.0,1941.0,1,Burbank,2,1,1,1,,0,,,,5772.0,2025-04
Wood,0,1,1112000.0,32.634357,-117.0057,2671.0,91913 - Chula Vista,San Diego,1,3.0,2000.0,3,Chula Vista,4,1,2,2,1,0,3.0,Sweetwater Union,0.0,6458.0,2025-04
,0,0,995000.0,32.76028285,-117.01311155,1606.0,91941 - La Mesa,San Diego,1,4.0,1986.0,2,La Mesa,3,1,1,1,,0,2.0,,,7018.0,2025-04
Wood,0,0,3537500.0,37.59895409,-121.64642485,4769.0,,Alameda,1,8.0,1991.0,4,Livermore,4,1,2,2,,0,8.0,,,320602.0,2025-04
,0,0,2318318.0,34.151323,-118.355677,2209.0,TUL - Toluca Lake,Los Angeles,1,2.0,1935.0,3,Toluca Lake,3,1,1,1,3,0,2.0,Los Angeles Unified,0.0,7607.0,2025-04
Carpet,1,0,900000.0,34.22599,-118.992818,2032.0,VC45 - Mission Oaks,Ventura,0,2.0,1978.0,3,Camarillo,4,1,2,2,,0,2.0,Conejo Valley Unified,,8276.0,2025-04
,1,0,240000.0,34.251082000000004,-117.328061,684.0,286 - Crestline Area,San Bernardino,0,0.0,1932.0,1,Cedarpines Park,1,1,1,1,1,0,0.0,Rim of the World,0.0,4731.0,2025-04
,0,0,1750000.0,33.899446000000005,-118.403733,1856.0,143 - Manhattan Bch Tree,Los Angeles,1,1.0,1950.0,3,Manhattan Beach,3,0,2,2,0,0,1.0,Manhattan Unified,0.0,4484.0,2025-04
,0,0,900000.0,33.771721,-117.936158,1235.0,"64 - Garden Grove E of Euclid, W of Harbor",Orange,0,2.0,1950.0,2,Garden Grove,2,0,1,1,2,0,2.0,Garden Grove Unified,0.0,8658.0,2025-04
,1,1,1260000.0,34.251488,-118.543398,2203.0,NR - Northridge,Los Angeles,1,2.0,1967.0,3,Northridge,4,1,2,2,1,0,2.0,Los Angeles Unified,0.0,6919.0,2025-04
